Type,Продукт,Калорийность,Белки,Жиры,Углеводы
Сосиски_и_колбаса,"Рулет из куриных грудок, запеченный в духовке",134 кКал,"14,59 г","7,65 г","1,79 г"
Сосиски_и_колбаса,"Салями, воздушной варки, из говядины",261 кКал,"12,6 г","22,2 г","1,9 г"
Сосиски_и_колбаса,"Салями, воздушной варки, из говядины и свинины",336 кКал,"21,85 г","25,9 г","2,4 г"
Сосиски_и_колбаса,"Салями, воздушной варки, индюшатина",172 кКал,"19,2 г","9,21 г","1,45 г"
Сосиски_и_колбаса,"Салями, из свинины, и говядины, меньше натрия",396 кКал,"15,01 г","30,5 г","15,18 г"
Сосиски_и_колбаса,"Салями, итальянская, свинина",425 кКал,"21,7 г",37 г,"1,2 г"
Сосиски_и_колбаса,"Салями, сухая или твердая, свинина",407 кКал,"22,58 г","33,72 г","1,6 г"
Сосиски_и_колбаса,"Салями, сухая или твердая, свинина, говядина",378 кКал,"21,07 г","31,65 г","0,72 г"
Сосиски_и_колбаса,"Сарделька (сосиска), говядина",315 кКал,"11,69 г","28,1 г","2,97 г"
Сосиски_и_колбаса,"Сарделька (сосиска), говядина и свинина",305 кКал,"11,53 г","27,64 г","1,72 г"
Сосиски_и_колбаса,"Сарделька (сосиска), говядина, свинина, индейка, обезжиринная, 1.6% жира",109 кКал,"12,5 г","1,59 г","11,21 г"
Сосиски_и_колбаса,"Сарделька (сосиска), говяжья, разогретая",322 кКал,"11,69 г","29,36 г","2,66 г"
Сосиски_и_колбаса,"Сарделька (сосиска), индейка",223 кКал,"12,23 г","17,29 г","3,81 г"
Сосиски_и_колбаса,"Сарделька (сосиска), куриная",223 кКал,"15,51 г","16,19 г","2,74 г"
Сосиски_и_колбаса,"Сарделька (сосиска), мясная",290 кКал,"10,26 г","25,76 г","4,17 г"
Сосиски_и_колбаса,"Сарделька (сосиска), мясная и домашняя птица, маложирная, 2.8% жира",121 кКал,"15,5 г","2,8 г","8,3 г"
Сосиски_и_колбаса,"Сарделька (сосиска), мясная, маложирная, 10% жира",140 кКал,12 г,"9,5 г","1,6 г"
Сосиски_и_колбаса,"Сарделька (сосиска), мясная, разогретая",278 кКал,"9,77 г","24,31 г","4,9 г"
Сосиски_и_колбаса,"Сарделька (сосиска), с низким содерж. Натрия",312 кКал,12 г,"28,51 г","1,8 г"
Сосиски_и_колбаса,Сардельки 1 сорта,202 кКал,"10,3 г","17,2 г","1,5 г"
Сосиски_и_колбаса,Сардельки говяжьи,215 кКал,"11,4 г","18,2 г","1,3 г"
Сосиски_и_колбаса,"Сардельки говяжьи отварные, по 1-394",215 кКал,"11,4 г","18,2 г","1,2 г"
Сосиски_и_колбаса,Сардельки свиные,322 кКал,"10,1 г","31,6 г","1,8 г"
Сосиски_и_колбаса,"Свинина, Паштет, из ветчины",216 кКал,"8,68 г","15,53 г","10,64 г"
Сосиски_и_колбаса,"Свинина, Паштет, ливерный",304 кКал,"15,2 г","25,6 г","2,1 г"
Сосиски_и_колбаса,"Свинина, Паштет, с сыром и беконом",245 кКал,"16,18 г","18,53 г","2,28 г"
Сосиски_и_колбаса,Сервелат,461 кКал,24 г,"40,5 г","0,2 г"
Сосиски_и_колбаса,Сосиски говяжьи,226 кКал,"10,4 г","20,1 г","0,8 г"
Сосиски_и_колбаса,"Сосиски говяжьи отварные, по 1-394",225 кКал,"10,4 г",20 г,"0,8 г"
Сосиски_и_колбаса,Сосиски столичные,234 кКал,"12,2 г","20,3 г","0,5 г"
Сосиски_и_колбаса,"Сосиски, венские, консервированные, из курицы, говядины, и свинины",230 кКал,"10,5 г","19,4 г","2,6 г"
Сосиски_и_колбаса,"Сосиски, молочные",261 кКал,11 г,"23,9 г","0,4 г"
Сосиски_и_колбаса,"Сосиски, русские",250 кКал,"11,3 г",22 г,"1,7 г"
Сосиски_и_колбаса,"Сосиски, свиные",324 кКал,"11,8 г","30,8 г",0 г
Сосиски_и_колбаса,"Спред для сэндвичей, паштет, из свинины и говядины",235 кКал,"7,66 г","17,34 г","11,74 г"
Сосиски_и_колбаса,"Спред-салат, для сэндвичей, домашняя птица",200 кКал,"11,64 г","13,52 г","7,41 г"
Сосиски_и_колбаса,"Чоризо (чорисо), из свинины и говядины",296 кКал,"13,63 г","25,1 г","3,78 г"
