Type,Продукт,Калорийность,Белки,Жиры,Углеводы
Пятерочка,Печенье Кольца [Пятерочка],457 кКал,"7,2 г","14,3 г","75,1 г"
Пятерочка,Пирог с Брусникой [Пятерочка],409 кКал,5 г,23 г,46 г
Пятерочка,Пирог с Капустой и Яйцом [Пятерочка],257 кКал,8 г,14 г,25 г
Пятерочка,Пирожок Домашний с Картофелем [Пятерочка],118 кКал,3 г,"1,5 г",23 г
Пятерочка,Пирожок Дрожжевой с Черникой [Пятерочка],301 кКал,"4,6 г","14,1 г","38,5 г"
Пятерочка,Пирожок с Капустой [Пятерочка],229 кКал,"4,9 г","6,2 г","38,5 г"
Пятерочка,Пирожок с Картошкой [Пятерочка],229 кКал,"5,2 г",7 г,36 г
Пятерочка,Пирожок с Мясом/Картофелем [Пятерочка],315 кКал,"9,9 г","19,6 г","24,8 г"
Пятерочка,Пирожок с Сосиской [Пятерочка],370 кКал,8 г,25 г,27 г
Пятерочка,Пицца с Ветчиной [Пятерочка],259 кКал,10 г,11 г,30 г
Пятерочка,Помело [Пятерочка],32 кКал,"0,6 г","0,2 г","6,7 г"
Пятерочка,Помидоры [Пятерочка],20 кКал,"1,1 г","0,2 г","3,7 г"
Пятерочка,Пончик [Пятерочка],430 кКал,"6,5 г",27 г,39 г
Пятерочка,Пончики Берлинские [Пятерочка],420 кКал,"7,5 г",23 г,47 г
Пятерочка,Пончики Берлинские с Варёной Сгущёнкой [Пятерочка],460 кКал,"7,5 г",22 г,58 г
Пятерочка,Пончики Берлинские с Шоколадным Муссом [Пятерочка],470 кКал,"6,5 г",26 г,51 г
Пятерочка,"Пончики с Кремом ""Берлинские"" [Пятерочка]",470 кКал,7 г,21 г,65 г
Пятерочка,Редис [Пятерочка],19 кКал,"1,2 г","0,1 г","3,4 г"
Пятерочка,Ржаной Багет с Чесноком [Пятерочка],303 кКал,"6,7 г",11 г,45 г
Пятерочка,Рис с Курицей и Овощами [Пятерочка],90 кКал,"6,6 г","3,5 г","8,5 г"
Пятерочка,Рожок с Сосиской [Пятерочка],270 кКал,7 г,14 г,29 г
Пятерочка,Розан с Абрикосом [Пятерочка],304 кКал,"3,1 г","12,5 г","44,6 г"
Пятерочка,Розан со Смородиной [Пятерочка],289 кКал,"3,3 г","12,5 г","40,8 г"
Пятерочка,Рулет Куриный [Пятерочка],228 кКал,"24,3 г",14 г,0 г
Пятерочка,Салат из Спаржи [Пятерочка],200 кКал,15 г,15 г,1 г
Пятерочка,Салат Столичный [Пятерочка],210 кКал,"5,7 г","5,3 г","10,4 г"
Пятерочка,Самса с Говядиной [Пятерочка],318 кКал,9 г,18 г,29 г
Пятерочка,Самса с Курицей [Пятерочка],360 кКал,"8,5 г",17 г,41 г
Пятерочка,Самса с Мясом [Пятерочка],235 кКал,"8,1 г","9,3 г","29,7 г"
Пятерочка,Сахар [Пятерочка],400 кКал,0 г,0 г,100 г
Пятерочка,Свекла [Пятерочка],43 кКал,"1,5 г","0,1 г","8,8 г"
Пятерочка,Семга Норвежская [Пятерочка],164 кКал,"16,5 г","10,9 г",0 г
Пятерочка,Семечки [Пятерочка],660 кКал,"25,5 г","65,3 г","5,8 г"
Пятерочка,Скумбрия Холодного Копчения [Пятерочка],150 кКал,"23,4 г","6,4 г",0 г
Пятерочка,Сливы [Пятерочка],42 кКал,"0,8 г","0,3 г","9,6 г"
Пятерочка,Слойка Дрожжевая с Вишней [Пятерочка],301 кКал,"4,6 г","14,1 г","38,5 г"
Пятерочка,Слойка с Абрикосом [Пятерочка],301 кКал,"4,6 г","14,1 г","38,5 г"
Пятерочка,Слойка с Адыгейским Сыром и Зеленью [Пятерочка],280 кКал,13 г,9 г,38 г
Пятерочка,Слойка с Говядиной [Пятерочка],320 кКал,9 г,21 г,24 г
Пятерочка,Слойка с Капустой [Пятерочка],337 кКал,"5,7 г",21 г,30 г
Пятерочка,Слойка с Картофельной Начинкой [Пятерочка],293 кКал,"4,7 г","14,9 г","34,2 г"
Пятерочка,Слойка с Малиной [Пятерочка],270 кКал,"4,5 г",13 г,30 г
Пятерочка,Слойка с Сосиской [Пятерочка],346 кКал,8 г,20 г,"33,5 г"
Пятерочка,Слойка с Сырной Начинкой [Пятерочка],390 кКал,10 г,23 г,35 г
Пятерочка,Слойка с Яблоком [Пятерочка],290 кКал,"3,5 г",13 г,39 г
Пятерочка,Слойка со Смородиной [Пятерочка],347 кКал,5 г,17 г,44 г
Пятерочка,Сметана [Пятерочка],160 кКал,"2,6 г",15 г,"3,6 г"
Пятерочка,Сок [Пятерочка],45 кКал,0 г,0 г,11 г
Пятерочка,Сочень с Творогом [Пятерочка],240 кКал,9 г,7 г,34 г
Пятерочка,Сухофрукты и Орехи [Пятерочка],590 кКал,"13,5 г","46,1 г","29,4 г"
Пятерочка,Сыр Гауда 45% [Пятерочка],338 кКал,26 г,26 г,0 г
Пятерочка,Сыр Голландский Красная Цена [Пятерочка],332 кКал,"26,3 г","25,2 г",0 г
Пятерочка,Сыр по-Российски Классический [Пятерочка],322 кКал,23 г,28 г,0 г
Пятерочка,Сыр Пошехонский [Пятерочка],320 кКал,"24,6 г","25,2 г",0 г
Пятерочка,Сыр Российский Красная Цена [Пятерочка],342 кКал,"22,5 г",28 г,0 г
Пятерочка,Сыр Российский Красная Цена [Пятерочка],342 кКал,"22,5 г",28 г,0 г
Пятерочка,Сыр Сливочный Город Сыра [Пятерочка],343 кКал,9 г,"30,8 г","7,5 г"
Пятерочка,"Сыр Творожный ""Свежий"" [Пятерочка]",122 кКал,11 г,7 г,"3,8 г"
Пятерочка,Сыр Тильзитер [Пятерочка],337 кКал,25 г,24 г,0 г
Пятерочка,Сыр Тильзитер Liebendorf [Пятерочка],320 кКал,23 г,25 г,0 г
Пятерочка,Сыр Топленое Молоко [Пятерочка],353 кКал,"24,2 г","24,3 г",0 г
Пятерочка,Сырники [Пятерочка],209 кКал,"18,5 г","5,7 г","21,4 г"
Пятерочка,Сырники из Творога Жареные Охлажденные [Пятерочка],214 кКал,13 г,8 г,"22,5 г"
Пятерочка,Сырный Продукт [Пятерочка],360 кКал,23 г,28 г,0 г
Пятерочка,Сырный Продукт Российский Классический [Пятерочка],323 кКал,"22,8 г","25,8 г",0 г
Пятерочка,Сырок Творожный [Пятерочка],363 кКал,10 г,23 г,29 г
Пятерочка,Тарталетки для Икры [Пятерочка],480 кКал,"7,5 г",25 г,49 г
Пятерочка,"Творог 0,5% [Пятерочка]",90 кКал,18 г,"0,5 г","3,3 г"
Пятерочка,"Творог 1,7% [Пятерочка]",85 кКал,18 г,"1,7 г","3,3 г"
Пятерочка,"Творог 1,8% [Пятерочка]",93 кКал,18 г,"1,8 г","1,3 г"
Пятерочка,Творог 5% [Пятерочка],121 кКал,16 г,5 г,3 г
Пятерочка,Творог 9% [Пятерочка],160 кКал,16 г,9 г,3 г
Пятерочка,Творожная Запеканка с Изюмом [Пятерочка],243 кКал,14 г,"6,9 г",31 г
Пятерочка,Томатная Паста [Пятерочка],82 кКал,"4,7 г","0,4 г","14,9 г"
Пятерочка,Торнадо Энергетик [Пятерочка],55 кКал,0 г,0 г,"13,5 г"
Пятерочка,Треска [Пятерочка],73 кКал,16 г,1 г,0 г
Пятерочка,Турновер с Ветчиной и Сыром [Пятерочка],370 кКал,8 г,26 г,27 г
Пятерочка,Турновер с Картофелем и Грибами [Пятерочка],327 кКал,5 г,20 г,32 г
Пятерочка,Тыква Баттернат [Пятерочка],45 кКал,1 г,"0,1 г","9,7 г"
Пятерочка,Уголок с Творожной Начинкой [Пятерочка],319 кКал,"8,5 г","12,8 г","42,3 г"
Пятерочка,Уголок с Яблочной Начинкой [Пятерочка],311 кКал,"4,8 г","10,5 г","49,1 г"
Пятерочка,Улитка Греческая с Курицей и Картофелем [Пятерочка],226 кКал,"8,7 г","6,7 г","32,6 г"
Пятерочка,Улитка Греческая с Мясом [Пятерочка],345 кКал,8 г,"18,5 г","35,8 г"
Пятерочка,Улитка Греческая с Творогом [Пятерочка],338 кКал,"8,1 г","16,5 г","38,4 г"
Пятерочка,Улитка Греческая со Шпинатом и Сыром [Пятерочка],248 кКал,"7,6 г","9,2 г","33,6 г"
Пятерочка,Улитка Косичка Картофель Бекон Шпинат [Пятерочка],248 кКал,"7,6 г","9,2 г","33,6 г"
Пятерочка,Улитка Косичка Курица/Рис/Овощи [Пятерочка],231 кКал,8 г,"6,5 г",35 г
Пятерочка,Улитка Косичка Сыр Картофель Бекон [Пятерочка],230 кКал,9 г,"7,5 г","31,5 г"
Пятерочка,Улитка с Кремом и Корицей [Пятерочка],280 кКал,"5,5 г",12 г,40 г
Пятерочка,Улитка с Повидлом [Пятерочка],240 кКал,9 г,7 г,35 г
Пятерочка,Улитка с Сыром и Шпинатом [Пятерочка],248 кКал,"7,6 г","9,2 г","33,6 г"
Пятерочка,Фаготтини с Клубникой [Пятерочка],376 кКал,6 г,"13,2 г","58,6 г"
Пятерочка,Фаготтини с Сыром и Ветчиной [Пятерочка],382 кКал,"10,8 г","19,4 г","40,4 г"
Пятерочка,Фарш Говяжий (Рестория) [Пятерочка],192 кКал,12 г,16 г,0 г
Пятерочка,Филе Грудки [Пятерочка],96 кКал,15 г,4 г,0 г
Пятерочка,Финики [Пятерочка],264 кКал,"2,3 г","0,5 г","71,9 г"
Пятерочка,Хачапури с Курицей и Грибами [Пятерочка],470 кКал,15 г,28 г,40 г
Пятерочка,Хачапури с Сыром [Пятерочка],335 кКал,"10,1 г","19,6 г","28,5 г"
Пятерочка,Хачапури с Сыром и Ветчиной [Пятерочка],572 кКал,18 г,37 г,40 г
Пятерочка,Хлеб Sibirien Korn Brot [Пятерочка],228 кКал,"6,2 г","2,3 г","48,9 г"
Пятерочка,Хлеб Бабушкин [Пятерочка],234 кКал,"7,3 г","0,8 г","49,3 г"
Пятерочка,Хлеб Гречишный [Пятерочка],244 кКал,7 г,3 г,46 г
Пятерочка,Хлеб Домашний на Молоке [Пятерочка],290 кКал,"9,5 г",2 г,59 г
Пятерочка,Хлеб Древнерусский [Пятерочка],201 кКал,10 г,1 г,38 г
Пятерочка,Хлеб Заварной [Пятерочка],248 кКал,"6,6 г",1 г,"51,8 г"
Пятерочка,Хлеб Зерновой [Пятерочка],274 кКал,"9,2 г","6,6 г","44,4 г"
Пятерочка,Хлеб Зерновой Мультизлаковый со Льном [Пятерочка],228 кКал,"6,2 г","2,3 г","48,9 г"
Пятерочка,Хлеб Маисовый [Пятерочка],240 кКал,"7,5 г",2 г,46 г
Пятерочка,Хлеб Отличный с Чесноком [Пятерочка],229 кКал,"8,3 г","3,3 г","58,8 г"
Пятерочка,Хлеб Парижский [Пятерочка],300 кКал,10 г,4 г,55 г
Пятерочка,Хлеб Питерский [Пятерочка],210 кКал,"7,4 г","1,2 г","42,6 г"
Пятерочка,Хлеб Пури Грузинский [Пятерочка],220 кКал,"8,5 г","0,9 г","55,9 г"
Пятерочка,Хлеб с Отрубями [Пятерочка],268 кКал,10 г,"2,7 г",51 г
Пятерочка,Хлеб с Семенами Подсолнечника [Пятерочка],269 кКал,"7,5 г",13 г,"30,5 г"
Пятерочка,Хлеб Фермерский [Пятерочка],200 кКал,"6,7 г","5,2 г","32,6 г"
Пятерочка,Хлебушек Черный Русский [Пятерочка],384 кКал,"8,5 г","12,7 г","58,9 г"
Пятерочка,Холодец [Пятерочка],31 кКал,"6,3 г","0,5 г","0,2 г"
Пятерочка,Хумус [Пятерочка],345 кКал,16 г,25 г,14 г
Пятерочка,Хурма [Пятерочка],66 кКал,"0,5 г","0,3 г","15,3 г"
Пятерочка,Цыпленок-Гриль [Пятерочка],237 кКал,27 г,"13,5 г",0 г
Пятерочка,Чебурек [Пятерочка],226 кКал,11 г,10 г,23 г
Пятерочка,Черешня [Пятерочка],50 кКал,"1,1 г","0,4 г","11,5 г"
Пятерочка,Чернослив [Пятерочка],277 кКал,"2,3 г","0,9 г",67 г
Пятерочка,Чернослив Фруктовый Батончик [Пятерочка],200 кКал,"2,5 г",1 г,48 г
Пятерочка,Чеснок [Пятерочка],143 кКал,"6,5 г","0,5 г","29,9 г"
Пятерочка,Чиабатта [Пятерочка],269 кКал,"9,4 г","2,6 г","50,8 г"
Пятерочка,Чипсы Московский Картофель [Пятерочка],570 кКал,"5,5 г",40 г,46 г
Пятерочка,Шампиньоны [Пятерочка],27 кКал,"4,3 г",0 г,"0,1 г"
Пятерочка,Штрудель Киви [Пятерочка],410 кКал,5 г,30 г,34 г
Пятерочка,Элеш с Курицей [Пятерочка],226 кКал,"10,9 г","11,2 г","20,4 г"
Пятерочка,Яблоко Голден [Пятерочка],53 кКал,"0,5 г","0,2 г","10,7 г"
Пятерочка,Яблоко Красное [Пятерочка],47 кКал,"0,4 г","0,4 г","9,8 г"
Пятерочка,Яблоко Роял Гала [Пятерочка],46 кКал,"0,4 г",0 г,"11,2 г"
Пятерочка,Яблоко Сезонное [Пятерочка],47 кКал,"0,4 г","0,4 г","9,8 г"
Пятерочка,Яйца [Пятерочка],157 кКал,"12,7 г","11,5 г","0,7 г"
Пятерочка,Ячневая Анна [Пятерочка],63 кКал,"2,4 г","1,7 г","9,5 г"
