Type,Продукт,Калорийность,Белки,Жиры,Углеводы
Травы__специи_и_соусы,Приправа для тыквенного пирога,342 кКал,"5,76 г","12,6 г","54,48 г"
Травы__специи_и_соусы,Рассол соли,0 кКал,0 г,0 г,0 г
Травы__специи_и_соусы,"Розмарин, свежий",131 кКал,"3,31 г","5,86 г","6,6 г"
Травы__специи_и_соусы,"Розмарин, сушеный",331 кКал,"4,88 г","15,22 г","21,46 г"
Травы__специи_и_соусы,Сельдерей корень сушеный,191 кКал,"7,8 г",2 г,"36,6 г"
Травы__специи_и_соусы,"Сельдерей, семя",392 кКал,"18,07 г","25,27 г","29,55 г"
Травы__специи_и_соусы,"Сливочная заправка, приготовленная из сметаны и/или пахты и масла, низкокалорийная",160 кКал,"1,5 г",14 г,7 г
Травы__специи_и_соусы,"Сливочная заправка, приготовленная из сметаны и/или пахты и масла, низкокалорийная, без холестерина",140 кКал,1 г,8 г,16 г
Травы__специи_и_соусы,"Сливочная заправка, приготовленная из сметаны и/или пахты и масла, низкокалорийная, обезжиренная",107 кКал,"1,4 г","2,7 г",20 г
Травы__специи_и_соусы,Соевый соус,53 кКал,"8,14 г","0,57 г","4,13 г"
Травы__специи_и_соусы,"Соевый соус, из гидролизованного овощного белка",60 кКал,7 г,"0,51 г","7,34 г"
Травы__специи_и_соусы,"Соевый соус, из гидролизованного овощного белка, с пониженным содержанием нартия",90 кКал,"8,19 г","0,31 г","14,14 г"
Травы__специи_и_соусы,"Соевый соус, с пониженным содержанием нартия",57 кКал,"9,05 г","0,3 г","4,89 г"
Травы__специи_и_соусы,"Соевый соус, тамари (только из сои, без пшеничной муки)",60 кКал,"10,51 г","0,1 г","4,77 г"
Травы__специи_и_соусы,Соль поваренная пищевая,0 кКал,0 г,0 г,0 г
Травы__специи_и_соусы,Соль столовая,0 кКал,0 г,0 г,0 г
Травы__специи_и_соусы,Соус белый основной по 2-82,56 кКал,1 г,"4,1 г","3,8 г"
Травы__специи_и_соусы,Соус грибной по 2-96,82 кКал,"1,2 г","6,2 г","4,8 г"
Травы__специи_и_соусы,Соус кисло-сладкий,15 кКал,"0,1 г",0 г,"3,7 г"
Травы__специи_и_соусы,Соус клюквенный по 2-112,51 кКал,0 г,0 г,"12,6 г"
Травы__специи_и_соусы,Соус красный основной по 2-74,48 кКал,"1,1 г",2 г,"6,2 г"
Травы__специи_и_соусы,Соус луковый по 2-76,75 кКал,"1,3 г","4,8 г","6,1 г"
Травы__специи_и_соусы,Соус майонез со сметаной по 2-102,312 кКал,"2,8 г","31,9 г","3,3 г"
