Type,Продукт,Калорийность,Белки,Жиры,Углеводы
Напитки,Лимонный кисель,"60,1 кКал","0,06 г","0,006 г",16 г
Напитки,"Медовуха ""Зауральская""","64,5 кКал",1 г,"0,2 г","15,6 г"
Напитки,Молоко кипяченое,"60,5 кКал",3 г,"3,3 г","4,9 г"
Напитки,Молочно-абрикосовый коктейль,62 кКал,"2,7 г","2,8 г",7 г
Напитки,Молочный кисель из моркови,"60,8 кКал",2 г,"1,9 г","9,5 г"
Напитки,Молочный напиток с абрикосами,125 кКал,"1,8 г","6,3 г","16,2 г"
Напитки,Морс брусничный,"41,4 кКал","0,06 г","0,04 г","10,9 г"
Напитки,"Напиток ""Лесная быль""","67,6 кКал","1,6 г","1,4 г","12,8 г"
Напитки,"Напиток ""Петровский""","14,9 кКал","0,2 г","0,02 г","3,7 г"
Напитки,"Напиток ""Фанта""","27,6 кКал","0,1 г","0,01 г","7,2 г"
Напитки,Напиток апельсиновый,43 кКал,"0,03 г","0,006 г","11,4 г"
Напитки,Напиток апельсиновый или лимонный,"41,7 кКал","0,08 г","0,02 г",11 г
Напитки,Напиток из айвы со сливками,"37,7 кКал","0,2 г","0,9 г","7,8 г"
Напитки,Напиток из айвы со сметаной,"32,7 кКал","0,3 г","2,3 г",3 г
Напитки,Напиток из боярышника,30 кКал,0 г,0 г,8 г
Напитки,Напиток из боярышника с овсяным отваром,"42,4 кКал","0,8 г","0,5 г","9,3 г"
Напитки,Напиток из брусники,"79,6 кКал","0,3 г","0,2 г","20,5 г"
Напитки,Напиток из варенья,"19,4 кКал",0 г,0 г,"5,2 г"
Напитки,Напиток из вишни с изюмом,"46,1 кКал","0,7 г","0,5 г","10,4 г"
Напитки,Напиток из кураги,"47,4 кКал","0,4 г","0,02 г","12,1 г"
Напитки,Напиток из сиропа,0 кКал,0 г,0 г,0 г
Напитки,Напиток из тыквы,"39,7 кКал","0,2 г","0,02 г","10,3 г"
Напитки,Напиток клюквенный,"40,3 кКал","0,05 г","0,02 г","10,6 г"
Напитки,Напиток Рябинушка,"41,1 кКал","0,4 г","0,05 г","10,4 г"
Напитки,Напиток яблочный,"42,1 кКал","0,05 г","0,05 г","11,1 г"
Напитки,Напиток яблочный с медом,"70,7 кКал","0,3 г","0,1 г","18,3 г"
Напитки,Настой барбарисовый,"178,7 кКал",0 г,0 г,"47,7 г"
Напитки,Ногайский чай (карачаево-черкесский национальный напиток),"105,4 кКал","2,6 г","9,2 г","3,3 г"
Напитки,Отвар из шиповника,"18,8 кКал","0,3 г","0,1 г","4,4 г"
Напитки,Пинемень куслят (кисель овсяный - мордовское национальное блюдо),"54,9 кКал","1,6 г","0,8 г","11,1 г"
Напитки,Сбитень,"58,1 кКал","0,2 г","0,7 г","13,5 г"
Напитки,Сбитень по Новониколаевски,"68,7 кКал","0,1 г","0,009 г","18,2 г"
Напитки,Студенческий напиток,"13,9 кКал","1,2 г","0,03 г","2,3 г"
Напитки,Тыквенный кисель,"101,5 кКал","1,9 г",5 г,13 г
Напитки,Хлебный квас,27 кКал,"0,2 г",0 г,"5,2 г"
Напитки,Чай брусничный,"26,4 кКал","0,02 г","0,02 г",7 г
Напитки,Чай из душицы,"27,1 кКал","0,01 г",0 г,"7,2 г"
Напитки,Чай рябиновый,"9,2 кКал","0,3 г","0,05 г",2 г
Напитки,Чай с лимоном,"41,1 кКал","0,2 г","0,05 г","10,6 г"
Напитки,Чай с молоком или сливками,"52,9 кКал","0,9 г","0,8 г","11,3 г"
Напитки,"Чай с сахаром, вареньем, джемом, медом, повидлом","41,7 кКал","0,2 г","0,05 г","10,8 г"
Напитки,Чай с яблоками,"17,2 кКал","0,3 г","0,2 г","3,7 г"
Напитки,Чай фруктовый с абрикосами,"169,8 кКал","4,7 г","0,4 г","39,4 г"
Напитки,Черника с молоком,60 кКал,"2,2 г","2,3 г","8,2 г"
Напитки,Яблочный пунш,75 кКал,"0,3 г","0,3 г","19,1 г"
Напитки,Ягодная наливка,"124,1 кКал","0,6 г","0,4 г","31,6 г"
