Type,Продукт,Калорийность,Белки,Жиры,Углеводы
Рыба_и_морепродукты,Камбала дальневосточная,90 кКал,"15,7 г",3 г,0 г
Рыба_и_морепродукты,Камбала обжаренная в масле. Консервы,254 кКал,"14,4 г","21,8 г",0 г
Рыба_и_морепродукты,Камбала полярная,86 кКал,"16,4 г","2,3 г",0 г
Рыба_и_морепродукты,Камбала речная горячего копчения,192 кКал,22 г,"11,6 г",0 г
Рыба_и_морепродукты,Камбала черноморская,"84,5 кКал","18,2 г","1,3 г",0 г
Рыба_и_морепродукты,Камбала-ерш,86 кКал,"15,5 г","2,7 г",0 г
Рыба_и_морепродукты,"Каракатица, все виды, приготовленная на пару",158 кКал,"32,48 г","1,4 г","1,64 г"
Рыба_и_морепродукты,"Каракатица, все виды, сырая",79 кКал,"16,24 г","0,7 г","0,82 г"
Рыба_и_морепродукты,Карась,87 кКал,"17,7 г","1,8 г",0 г
Рыба_и_морепродукты,Карась морской,91 кКал,"20,4 г","1,4 г",0 г
Рыба_и_морепродукты,"Карась морской, приготовленный на жару",126 кКал,"26,02 г","1,63 г",0 г
Рыба_и_морепродукты,"Карась морской, сырой",108 кКал,"20,21 г","2,41 г",0 г
Рыба_и_морепродукты,Карп,112 кКал,16 г,"5,3 г",0 г
Рыба_и_морепродукты,"Карп жареный, по 1-364",181 кКал,"18,5 г","10,5 г","3,2 г"
Рыба_и_морепродукты,"Карп, сырой",127 кКал,"17,83 г","5,6 г",0 г
Рыба_и_морепродукты,"Карп, сырой, приготовленный на жару",162 кКал,"22,86 г","7,17 г",0 г
Рыба_и_морепродукты,"Кафельник, приготовленный на жару",147 кКал,"24,49 г","4,69 г",0 г
Рыба_и_морепродукты,"Кафельник, сырой",96 кКал,"17,5 г","2,31 г",0 г
Рыба_и_морепродукты,Кета,127 кКал,19 г,"5,6 г",0 г
Рыба_и_морепродукты,"Кета в томатном соусе, консервы",168 кКал,"19,7 г","8,2 г","4,1 г"
Рыба_и_морепродукты,"Кета натуральная, консервы",129 кКал,"21,5 г","4,8 г",0 г
Рыба_и_морепродукты,Кета соленая,184 кКал,"24,3 г","9,6 г",0 г
Рыба_и_морепродукты,"Кета, консервированная без соли, сухой продукт без маринада с костями",141 кКал,"21,43 г","5,5 г",0 г
Рыба_и_морепродукты,"Кета, приготовленная на жару",154 кКал,"25,82 г","4,83 г",0 г
Рыба_и_морепродукты,"Кета, сухой продукт без маринада с костями",141 кКал,"21,43 г","5,5 г",0 г
Рыба_и_морепродукты,"Кета, сушеная, (Аляска)",378 кКал,"62,09 г","14,38 г",0 г
Рыба_и_морепродукты,"Кета, сырая",120 кКал,"20,14 г","3,77 г",0 г
Рыба_и_морепродукты,"Кета, сырая, (Аляска)",116 кКал,"20,69 г","3,67 г",0 г
Рыба_и_морепродукты,Кефаль холодного копчения,199 кКал,"23,8 г","11,5 г",0 г
Рыба_и_морепродукты,Кижуч,140 кКал,"21,6 г",6 г,0 г
Рыба_и_морепродукты,"Кижуч (серебряный лосось), сырой, (Аляска)",140 кКал,"22,56 г","5,57 г",0 г
Рыба_и_морепродукты,Кижуч консервированный,140 кКал,"17,9 г","7,4 г",0 г
Рыба_и_морепродукты,"Кижуч, дикий, приготовленный на жару",139 кКал,"23,45 г","4,3 г",0 г
Рыба_и_морепродукты,"Кижуч, дикий, приготовленный на пару",184 кКал,"27,36 г","7,5 г",0 г
Рыба_и_морепродукты,"Кижуч, дикий, сырой",146 кКал,"21,62 г","5,93 г",0 г
Рыба_и_морепродукты,"Кижуч, разведенный на ферме, приготовленный на жару",178 кКал,"24,3 г","8,23 г",0 г
Рыба_и_морепродукты,"Кижуч, разведенный на ферме, сырой",160 кКал,"21,27 г","7,67 г",0 г
Рыба_и_морепродукты,Килька балтийская,137 кКал,"14,1 г",9 г,0 г
Рыба_и_морепродукты,Килька балтийская горячего копчения,162 кКал,"21,3 г","8,5 г",0 г
Рыба_и_морепродукты,Килька балтийская соленая,137 кКал,"17,1 г","7,6 г",0 г
Рыба_и_морепродукты,Килька каспийская,192 кКал,"18,5 г","13,1 г",0 г
Рыба_и_морепродукты,"Килька соленая с картофелем и маслом, по 1-100",192 кКал,"11,3 г","12,2 г","9,2 г"
