Type,Продукт,Калорийность,Белки,Жиры,Углеводы
Хлеб_и_выпечка,"Пирог, белый, сухая смесь, пудинг, необогащенный",423 кКал,"3,9 г","9,5 г","80,3 г"
Хлеб_и_выпечка,"Пирог, белый, сухая смесь, пудинг, обогащенный",423 кКал,"3,9 г","9,5 г","80,2 г"
Хлеб_и_выпечка,"Пирог, вишневая сливочная помадка с шоколадной глазурью",264 кКал,"2,4 г","12,5 г","37,5 г"
Хлеб_и_выпечка,"Пирог, вишневый, приготовленный по рецепту",270 кКал,"2,8 г","12,2 г","38,5 г"
Хлеб_и_выпечка,"Пирог, воздушный, приготовленный по рецепту",297 кКал,"7,3 г","4,3 г","57,7 г"
Хлеб_и_выпечка,"Пирог, воздушный, промышленного изготовления",290 кКал,"5,4 г","2,7 г","60,5 г"
Хлеб_и_выпечка,"Пирог, желтый, приготовленный по рецепту, без глазури",361 кКал,"5,3 г","14,6 г","52,3 г"
Хлеб_и_выпечка,"Пирог, желтый, промышленного изготовления, с ванильной глазурью",391 кКал,"2,99 г","17,91 г","55,9 г"
Хлеб_и_выпечка,"Пирог, желтый, промышленного изготовления, с шоколадной глазурью",379 кКал,"3,16 г","17,75 г","53,86 г"
Хлеб_и_выпечка,"Пирог, желтый, сухая смесь, легкий",404 кКал,"4,7 г","5,5 г","82,8 г"
Хлеб_и_выпечка,"Пирог, желтый, сухая смесь, пудинг",423 кКал,4 г,"9,8 г","79,3 г"
Хлеб_и_выпечка,"Пирог, желтый, сухая смесь, стандартный, необогащенный",432 кКал,"4,4 г","11,6 г",77 г
Хлеб_и_выпечка,"Пирог, желтый, сухая смесь, стандартный, обогащенный",374 кКал,"3,7 г","3,5 г","80,72 г"
Хлеб_и_выпечка,"Пирог, из песочного теста, бисквит, приготовленный по рецепту",346 кКал,"6,1 г","14,2 г","48,5 г"
Хлеб_и_выпечка,"Пирог, имбирный, приготовленный по рецепту",356 кКал,"3,9 г","16,4 г","49,2 г"
Хлеб_и_выпечка,"Пирог, имбирный, сухая смесь",437 кКал,"4,4 г","13,8 г","72,9 г"
Хлеб_и_выпечка,"Пирог, мини, с кремом и шоколадной глазурью",399 кКал,"3,63 г","15,93 г","57,11 г"
Хлеб_и_выпечка,"Пирог, мини, с кремом, воздушный",374 кКал,"3,47 г","11,54 г","63,03 г"
Хлеб_и_выпечка,"Пирог, перевернутый ананас, приготовленный по рецепту",319 кКал,"3,5 г","12,1 г","49,7 г"
Хлеб_и_выпечка,"Пирог, персиковый",224 кКал,"1,9 г",10 г,"32,1 г"
Хлеб_и_выпечка,"Пирог, с ванильным кремом, приготовленный по рецепту",278 кКал,"4,8 г","14,4 г",32 г
Хлеб_и_выпечка,"Пирог, с черникой, приготовленный по рецепту",245 кКал,"2,7 г","11,9 г","33,5 г"
Хлеб_и_выпечка,"Пирог, тыквенный, приготовленный по рецепту",204 кКал,"4,5 г","9,3 г","26,4 г"
Хлеб_и_выпечка,"Пирог, фруктовый, промышленного изготовления",324 кКал,"2,9 г","9,1 г","57,9 г"
Хлеб_и_выпечка,"Пирог, фунтовый (мука, масло и сахар в равных пропорциях), промышленного изготовления, без жира",283 кКал,"5,4 г","1,2 г","59,9 г"
Хлеб_и_выпечка,"Пирог, фунтовый (мука, масло и сахар в равных пропорциях), промышленного изготовления, исключая все сливочные, необогащенный",389 кКал,"5,2 г","17,9 г","51,5 г"
Хлеб_и_выпечка,"Пирог, фунтовый (мука, масло и сахар в равных пропорциях), промышленого изготовления, с маслом",353 кКал,5 г,"13,96 г","53,04 г"
Хлеб_и_выпечка,"Пирог, фунтовый, (мука, масло и сахар в равных пропорциях), промышленного изготовления, без масла, обогащенный",389 кКал,"5,2 г","17,9 г","51,5 г"
Хлеб_и_выпечка,"Пирог, яблочный, приготовленный по рецепту",265 кКал,"2,4 г","12,5 г","37,1 г"
Хлеб_и_выпечка,"Пирожки жареные с капустой, по 2-188",230 кКал,5 г,"10,5 г","28,8 г"
Хлеб_и_выпечка,Пирожки картофельные с морковью по 1-246,124 кКал,"2,4 г","4,2 г","18,9 г"
Хлеб_и_выпечка,"Пирожки печеные простые, по 2-188",250 кКал,"12,7 г","7,3 г","33,2 г"
Хлеб_и_выпечка,Пластинки из цельно-молотой пшеницы,342 кКал,"12,7 г","2,4 г","67,3 г"
Хлеб_и_выпечка,"Пончики, на дрожжах, глазированные, необогащенные (включая медовые булочки)",403 кКал,"6,4 г","22,8 г","43,1 г"
Хлеб_и_выпечка,"Пончики, на дрожжах, глазированные, обогащенные (включая медовые булочки)",421 кКал,"6,14 г","22,7 г","45,83 г"
Хлеб_и_выпечка,"Пончики, на дрожжах, с желейной начинкой",340 кКал,"5,9 г","18,7 г","38,1 г"
Хлеб_и_выпечка,"Пончики, на дрожжах, с кремовой начинкой",361 кКал,"6,4 г","24,5 г","29,2 г"
Хлеб_и_выпечка,Пшеничный хлеб,274 кКал,"10,67 г","4,53 г","43,54 г"
Хлеб_и_выпечка,Пшеничный хлеб из пророщенных зерен,188 кКал,"13,16 г",0 г,"28,58 г"
Хлеб_и_выпечка,"Пшеничный хлеб из пророщенных зерен, тосты",205 кКал,"14,3 г",0 г,"31,12 г"
Хлеб_и_выпечка,Пшеничный хлеб низкокалорийный,217 кКал,"13,32 г","2,92 г","31,37 г"
Хлеб_и_выпечка,Пшеничный хлеб с отрубями,248 кКал,"8,8 г","3,4 г","43,8 г"
Хлеб_и_выпечка,"Пшеничный хлеб, тосты",313 кКал,"12,96 г","4,27 г","51,07 г"
Хлеб_и_выпечка,"Разрыхлитель пищевой, винный камень (смесь тартрата калия E336i с битартратом калия E336ii)",258 кКал,0 г,0 г,"61,3 г"
Хлеб_и_выпечка,"Разрыхлитель пищевой, дрожжи, пекарные, активные, сухие",325 кКал,"40,44 г","7,61 г","14,32 г"
Хлеб_и_выпечка,"Разрыхлитель пищевой, дрожжи, пекарные, прессованные",105 кКал,"8,4 г","1,9 г",10 г
Хлеб_и_выпечка,"Разрыхлитель пищевой, пекарный порошок (заменяющий дрожжи), двойного действия, straight phosphate",51 кКал,"0,1 г",0 г,"23,9 г"
Хлеб_и_выпечка,"Разрыхлитель пищевой, пекарный порошок (заменяющий дрожжи), двойного действия, натрий, сульфат алюминия (Е-520)",53 кКал,0 г,0 г,"27,5 г"
Хлеб_и_выпечка,"Разрыхлитель пищевой, пекарный порошок (заменяющий дрожжи), с низким содерж. натрия",97 кКал,"0,1 г","0,4 г","44,7 г"
Хлеб_и_выпечка,Ржаной хлеб,259 кКал,"8,5 г","3,3 г","42,5 г"
Хлеб_и_выпечка,"Ржаной хлеб, низкокалорийный",203 кКал,"9,1 г","2,9 г","28,5 г"
Хлеб_и_выпечка,"Ржаной хлеб, тосты",284 кКал,"9,4 г","3,6 г","46,7 г"
Хлеб_и_выпечка,Рисовый хлеб с отрубями,243 кКал,"8,9 г","4,6 г","38,6 г"
Хлеб_и_выпечка,"Рисовый хлеб с отрубями, тосты",264 кКал,"9,7 г",5 г,42 г
Хлеб_и_выпечка,Рогалики с изюмом и корицей,274 кКал,"9,8 г","1,7 г","52,9 г"
Хлеб_и_выпечка,Рогалики с изюмом и корицей жареные,294 кКал,"10,6 г","1,8 г","56,8 г"
Хлеб_и_выпечка,Рогалики с овсяными отрубями,255 кКал,"10,7 г","1,2 г","49,7 г"
Хлеб_и_выпечка,"Рогалики, простые, жареные, обогащенные, с пропионатом кальция (включает лук, мак, сезам),",287 кКал,"11,14 г","1,43 г","55,59 г"
Хлеб_и_выпечка,"Рогалики, простые, обогащенные пропионатом кальция (включает лук, мак, сезам)",257 кКал,"10,02 г","1,62 г","50,5 г"
Хлеб_и_выпечка,Рожки к чаю,312 кКал,"8,4 г","5,6 г","56,8 г"
Хлеб_и_выпечка,Рожки обсыпные сдобные,314 кКал,"7,8 г","5,6 г","57,2 г"
Хлеб_и_выпечка,Сдоба выборгская с маком,304 кКал,"7,5 г","5,2 г","55,5 г"
Хлеб_и_выпечка,Сдоба выборгская с повидлом,293 кКал,"6,5 г","4,2 г","57,1 г"
Хлеб_и_выпечка,Сдоба обыкновенная,301 кКал,"8,1 г","5,3 г","54,9 г"
Хлеб_и_выпечка,"Сладкая выпечка с фруктами и орехами, которую едят на Рождество, на дрожжах",367 кКал,"9,42 г","11,58 г","54,08 г"
Хлеб_и_выпечка,"Сладкие рулетики с корицей и изюмом, промышленного изготовления",372 кКал,"6,2 г","16,4 г","48,5 г"
Хлеб_и_выпечка,Слойка,558 кКал,"7,4 г","38,5 г","44,2 г"
Хлеб_и_выпечка,"Слойка, замороженная, готовая к выпеканию",551 кКал,"7,3 г","38,1 г","43,6 г"
Хлеб_и_выпечка,"Сода пищевая, разрыхлитель для выпечки",0 кКал,0 г,0 г,0 г
Хлеб_и_выпечка,Соломка сладкая,372 кКал,"9,1 г","6,1 г","69,3 г"
Хлеб_и_выпечка,Сухари армейские из обойной муки,304 кКал,"12,3 г","2,3 г","60,1 г"
Хлеб_и_выпечка,"Сухари армейские, пшеничные 1 сорта",330 кКал,"11,2 г","1,4 г","67,5 г"
Хлеб_и_выпечка,"Сухари армейские, пшеничные 2 сорта",323 кКал,"12,3 г","1,9 г","63,5 г"
Хлеб_и_выпечка,"Сухари армейские, ржано-пшеничные",311 кКал,12 г,"2,1 г","58,1 г"
Хлеб_и_выпечка,"Сухари армейские, ржаные",294 кКал,"11,3 г",2 г,"56,4 г"
Хлеб_и_выпечка,Сухари ванильные из пшеничной муки высшего сорта,407 кКал,"8,6 г","11,4 г","66,8 г"
Хлеб_и_выпечка,Сухари горчичные из пшеничной муки высшего сорта,386 кКал,9 г,"9,5 г","65,4 г"
Хлеб_и_выпечка,Сухари дорожные из пшеничной муки 1 сорта,341 кКал,"10,9 г","1,5 г","69,4 г"
Хлеб_и_выпечка,Сухари лимонные из пшеничной муки высшего сорта,388 кКал,"9,5 г","8,5 г","67,5 г"
Хлеб_и_выпечка,Сухари московские из пшеничной муки 1 сорта,360 кКал,"9,7 г",5 г,68 г
Хлеб_и_выпечка,Сухари сливочные,399 кКал,"8,5 г","10,8 г","66,7 г"
Хлеб_и_выпечка,Сухари украинские из пшеничной муки высшего сорта,385 кКал,9 г,"7,9 г","68,6 г"
Хлеб_и_выпечка,Сушки простые из муки 1 сорта,331 кКал,"10,9 г","1,3 г","68,8 г"
Хлеб_и_выпечка,Сушки простые из муки в/с,339 кКал,"10,7 г","1,2 г","71,2 г"
Хлеб_и_выпечка,"Сырный пирог, приготовленный из сухой смеси, не выпечной",274 кКал,"5,5 г","12,7 г","33,6 г"
Хлеб_и_выпечка,"Сырный пирог, промышленого изготовления",321 кКал,"5,5 г","22,5 г","25,1 г"
Хлеб_и_выпечка,"Теннис-хлеб, обыкновенный (Апачи)",258 кКал,9 г,"1,05 г","50,66 г"
Хлеб_и_выпечка,"Французские тосты, замороженные, готовые к выпечке",213 кКал,"7,4 г","6,1 г",31 г
Хлеб_и_выпечка,Хлеб белый,266 кКал,"8,85 г","3,33 г","46,72 г"
Хлеб_и_выпечка,"Хлеб белый, приготовленный по рецепту, из маложирного (2%-ым) молока",285 кКал,"7,9 г","5,7 г","47,6 г"
Хлеб_и_выпечка,"Хлеб белый, приготовленный по рецепту, сделанный из обезжиренного сухого молока",274 кКал,"7,7 г","2,6 г","51,6 г"
Хлеб_и_выпечка,"Хлеб белый, тосты",290 кКал,9 г,4 г,"51,6 г"
Хлеб_и_выпечка,Хлеб из грубой непросеянной ржаной муки,250 кКал,"8,7 г","3,1 г",41 г
Хлеб_и_выпечка,"Хлеб из кукурузной муки, приготовленный из сухой смеси",330 кКал,"6,59 г","9,58 г","52,16 г"
Хлеб_и_выпечка,"Хлеб из кукурузной муки, приготовленный по рецепту, из маложирного (2%-ым) молока",266 кКал,"6,7 г","7,1 г","43,5 г"
